Name,Confirmed,Bio,Organisation ,Session,Link to twitter,Other relevant info,Photo?
Satoko Kishimoto,Yes,Coordinator of the Public Alternative Project at the Transnational Institute (TNI),Transnational Institutute,,https://twitter.com/satokokishimoto,,
Jon Trickett MP ,Yes,Labour MP for Hemsworth and Shadow Minister for the Cabinet Office ,Labour Party,,https://twitter.com/jon_trickett,,
Kate Osamor MP,No,Labour MP for Edmonton and Shadow Secretary of State for International Development,Labour Party,,https://twitter.com/KateOsamor ,,
Will Stronge ,Yes,"Founding member and co-director of think tank Autonomy, co-author of the forthcoming primer 'Post-Work: what it is, why it matters and how we get there' ",Autonomy,,https://twitter.com/w_stronge,,
Alice Martin ,Yes,Subject Lead for Housing & Work at the New Economics Foundation (NEF) ,NEF,,https://twitter.com/AlicePMartin,,
Carys Roberts ,Yes,Senior Economist at Institute for Public Policy Research (IPPR),IPPR,,https://twitter.com/carysroberts,,
Aidan Harper ,Yes,"Member of the 4 Day Week Campaign, and a researcher in work and social policy for the New Economics Foundation (NEF)",4 Day Week Campaign,,https://twitter.com/Aidan_Harper_,,
Kevin Anderson ,Yes,"Deputy Director of the Tyndall Centre for Climate Change Research and holds a joint chair in Energy and Climate Change at the School of Mechanical, Aerospace and Civil Engineering at the University of Manchester and School of Environmental Sciences at the University of East Anglia",,,https://twitter.com/KevinClimate,,
Dalia Gebrial ,Yes,"Decolonisation activist, PhD candidate at LSE and co-editor of 'Decolonising the University'",,,https://twitter.com/daliaeldaba,,
Ian Hodson ,Yes,"National President of the Bakers, Food and Allied Workers Union (BFAWU)",BFAWU,,https://twitter.com/IanBFAWU,,
Jamie Woodcock ,Yes,"Editor for Notes From Below, sits on the advisory board for Historical Materialism and author of 'Working the Phones' published by Pluto Press",Notes From Below,Solidairty is our weapon: Lessons from the UCU Strike.,https://twitter.com/jamie_woodcock,,
Rory Hughes ,Yes,President of University of Liverpool Guild of Students,Liverpool Guild of Students,Solidarity is our weapon: Lessons from the UCU Strike,https://twitter.com/RedRoryHughes,,
Christine Blower ,Yes,"International Secretary of the National Education Union, former General Secretary of NUT",NEU,,,,
Grace Blakeley,Yes,Writer and Research Fellow on IPPR’s Commission on Economic Justice,IPPR,,https://twitter.com/graceblakeley,,
Sarah-Jayne Clifton,Yes,Director of Jubilee Debt Campaign,Jubilee Debt Campaign,,https://twitter.com/sarahjclifton,,
Fran Boait,No,Executive Director of Positive Money,Positive Money,,https://twitter.com/franboait,,
Zoe Williams,Yes,Guardian columnist,,,https://twitter.com/zoesqwilliams,,
Dawn Foster ,Yes,"Guardian columnist who writes on politics, social affairs and economics",,,https://twitter.com/DawnHFoster,,
David Harvey ,Yes,"Distinguished Professor of Anthropology and Geography at the Graduate Center of the City University of New York and author of Marx, Capital & the Madness of Economic Reason; The Ways of the World; 17 Contradictions & the End of Capitalism",,,https://twitter.com/profdavidharvey,,
Richard Burgon MP,Yes,"Labour MP for Leeds East, Shadow Secretary of State for Justice and Shadow Lord Chancellor",Labour Party,,https://twitter.com/RichardBurgon,,
Richard Seymour,Yes,"Writer, broadcaster & activist and author of several books, including 'Corbyn: The Strange Rebirth of Radical Politics'. He blogs at Lenin’s Tomb.",,,https://twitter.com/leninology,,
Bonnie Castillo,Yes,Executive Director of National Nurses United union of the United States,National Nurses United,,https://twitter.com/NNUBonnie,,
Becky Bond,Yes,Former Senior Advisor to Bernie Sanders presidential campaign and co-author of ‘Rules for Revolutionaries: How Big Organizing Can Change Everything',,,https://twitter.com/bbond,,
Neil Findlay MSP,Yes,"Labour MSP for Lothians and Shadow Cabinet member leading on Brexit, Campaigns and Party engagement",Labour Party,,https://twitter.com/NeilFindlay_MSP,,
Andreas Schieder,No,Head of the Austrian SPO Parliamentary Group,SPO,,https://twitter.com/SCHIEDER,,
Aaron Bastani ,Yes,"Co-founder and senior editor at Novara Media, journalist and author of 'Fully Automated Luxury Communism'",Novara Media,,https://twitter.com/AaronBastani,,
Lois Browne,No,Love Music Hate Racism campaign,,,,,
Eliane Correa,Yes,Leader of Afro-Cuban/pan-Latin band Wara,,,https://twitter.com/_elianecorrea_,,
Ted Howard,Yes,"Co-founder and President of The Democracy Collaborative, previously serveing as the Executive Director of the National Center for Economic Alternatives",Democracy Collaborative,,,,
Stewart Lansley,Yes,"Economist and financial journalist, visiting fellow at the School of Policy Studies, University of Bristol and a fellow at London's City University",,,https://twitter.com/StewartLansley,,
Miranda Hall,Yes,"Writer and activist interested in the intersections of work, gender and technology, working at the New Economics Foundation (NEF)",NEF,,https://twitter.com/Miranda__Lena,,CAN'T FIND PHOTO
Blaire Buchanan,Yes,Organiser with Sex Worker Advocacy and Resistance Movement (SWARM),SWARM,,,,CAN'T FIND PHOTO
Ava Caradonna,Yes,Organiser with the x:talk project,The x:talk project,,,,CAN'T FIND PHOTO
Paulina Nicol,Yes,Organiser with English Collective of Prostitutes (ECP),English Collective of Prostitutes,,,,CAN'T FIND PHOTO
Molly Smith,Yes,Sex work activist with Sex Worker Open University and ScotPep,ScotPep,,https://twitter.com/pastachips,,CAN'T FIND PHOTO
Camille Barbagallo,Yes,"Academic, activist and Women’s Strike Assembly UK organiser",Women’s Strike Assembly UK,,,,
Niki Adams,Yes,Organiser with English Collective of Prostitutes,English Collective of Prostitutes,,,,CAN'T FIND PHOTO
Seth Wheeler,Yes,"Founder member of  Plan C, editor of the socialist journal 'Notes From Below' and member of the IWGB Union. He is currently devising an educational project in conjunction with CAIWU, a member-led union",Notes From Below,What do we need to win?,https://twitter.com/sethnotes,,
Jonathan Shafi,Yes,"Campaigns Manager with think tank Common Wealth, member of  the coalition behind ‘Act As If We Own The Place', founder and coordinator of the Radical Independence Congress",,,https://twitter.com/jonathon_shafi,,
Alice Kinghorn-Grey,Yes,"Campaign Organiser for Electoral Reform Society (Scotland), organiser for 'Act As If We Own The Place', works on relations between the municipalist movements across Spain and Scotland",Electoral Reform Society (Scotland),,,,CAN'T FIND PHOTO
Nancy Platts,Yes,"Labour Councillor in Brighton, former Trade Union Liaison Officer in Jeremy Corbyn’s Office, heads up ‘Politics for the Many - Trade Unionists for Political Reform'",Labour Party,,,,
Kat Wright,Yes,"Member of Manchester ACORN, a community member led union fighting for housing justice.",ACORN Manchester,What do we need to win,,,CAN'T FIND PHOTO
Jo McNeill,Yes,"President of the University of Liverpool UCU branch, member of the UCU NEC. Recently elected as a National Negotiator for HE, sitting on the national Strategy and Finance Committee and Recruitment, Organising and Campaigns Committee",Liverpool UCU,Solidarity is our weapon: Lessons from the UCU Strike,https://twitter.com/JomcneillUCU,,
Ronan Burtenshaw,Yes,Writer and Europe Editor for Jacobin ,Jacobin,,https://twitter.com/ronanburtenshaw,,
Franco 'Bifo' Berardi,,"Renowned writer and theorist of contemporary media, culture and society, working mainly around the aesthetics of the contemporary psychosphere. His latest books include Futurability, Phenomenology of the End, and The Soul at Work. In the 1970s he was one of the founders of the pirate radio station Radio Alice, the magazine A/traverso and of the political movement Autonomia",,mental health,,,
Richard Clarke,Yes,"Labour party activist currently working as a consultant to Lottery funded landscape schemes, Visiting Scholar at  the University of Westminster, member of the Marx Memorial Library’s Education Sub-Commit",Marx Memorial Library,"
“Everything you wanted to know about Marxism, but were afraid to ask”
A Marx Memorial Library Workshop",,,CAN'T FIND PHOTO
Mary Davis,Yes,"Labour Historian. who has written, broadcast and lectured widely on women’s history, labour history, imperialism and racism. She was awarded the TUC Women’s Gold 
Badge in 2010 for services to trade unionism. She is currently a trustee of Marx Memorial Library",Marx Memorial Library,"
“Everything you wanted to know about Marxism, but were afraid to ask”
A Marx Memorial Library Workshop",,,CAN'T FIND PHOTO
Meirian Jump,Yes,Archivist & Library Manager at the Marx Memorial Library,Marx Memorial Library,Chair in MML sessions,,,
Jacob Mukherjee,Yes,Campaigns Officer at Generation Rent - an organisation fighting for the rights and interests of private renters. He is currently coordinating the national campaign to end no-fault evictions,Generation Rent,Rentquake: strategies and tactics for the new private renter movement,,,
Paul Williams,Yes,"Co-Chair of ACORN Brighton, a community-based union of working-class people fighting for renters rights",ACORN Brighton,Rentquake: strategies and tactics for the new private renter movement,https://twitter.com/paulf_williams,,CAN'T FIND PHOTO
Siobhan Donnachie,Yes,Housing advisor and organiser with Greater Manchester Housing Action (GMHA) - a network of organisers and progressive academics who advocate  and campaign for radical leftwing solutions to the housing crisis in Greater Manchester,GMHA,Rentquake: strategies and tactics for the new private renter movement,,,CAN'T FIND PHOTO
